n,L_n,R_n,M_n
2480,5.9967748439,6.0032264568,5.9999996748
2500,5.99680064,6.00320064,5.99999968
2520,5.9968260267,6.0031752331,5.9999996851
2540,5.9968510137,6.0031502263,5.99999969
2560,5.9968756104,6.0031256104,5.9999996948
2580,5.9968998257,6.0031013761,5.9999996995
2600,5.9969236686,6.0030775148,5.9999997041
2620,5.9969471476,6.0030540178,5.9999997086
2640,5.9969702709,6.003030877,5.999999713
2660,5.9969930465,6.0030080841,5.9999997173
2680,5.9970154823,6.0029856315,5.9999997215
2700,5.9970375857,6.0029635117,5.9999997257
2720,5.9970593642,6.0029417171,5.9999997297
2740,5.9970808248,6.0029202408,5.9999997336
2760,5.9971019744,6.0028990758,5.9999997374
2780,5.9971228197,6.0028782154,5.9999997412
2800,5.9971433673,6.0028576531,5.9999997449
2820,5.9971636236,6.0028373824,5.9999997485
2840,5.9971835945,6.0028173973,5.999999752
2860,5.9972032862,6.0027976918,5.9999997555
2880,5.9972227045,6.00277826,5.9999997589
2900,5.9972418549,6.0027590963,5.9999997622
2920,5.9972607431,6.0027401952,5.9999997654
2940,5.9972793743,6.0027215512,5.9999997686
2960,5.9972977538,6.0027031592,5.9999997717
2980,5.9973158867,6.0026850142,5.9999997748
3000,5.9973337778,6.0026671111,5.9999997778
3020,5.997351432,6.0026494452,5.9999997807
3040,5.9973688539,6.0026320118,5.9999997836
